city,state,lon,lat,lon1,lat1
New York,New York,-73.9942154666,40.7487445921,-73.9942154666,40.7487445921
Boston,Massachusetts,-70.8841258498,42.4425023177,-70.8841258498,42.4425023177
Washington,Virginia,-77.4547377163,38.8761202101,-77.4547377163,38.8761202101
Knoxville,Fort Carolina,-84.1421604604,35.9887013288,-84.1421604604,35.9887013288
New Orleans,Louisiana,-89.9827043418,29.9875424907,-89.9827043418,29.9875424907
Little Rock,Arkansas,-92.2532157756,34.7475857540,-92.2532157756,34.7475857540
Tuskaloosa,Alabama,-87.4712704728,33.2326946848,-87.4712704728,33.2326946848
Nashville,Tennessee,-86.7704052070,36.1675679852,-86.7704052070,36.1675679852
Charlston,Virginia,-81.7986422281,38.2847651422,-81.7986422281,38.2847651422
Towanda,Pennsylvania,-76.8998860476,41.6430778739,-76.8998860476,41.6430778739
Ogdenborg,New York,-75.5784629944,44.2567212608,-75.5784629944,44.2567212608
Augusta,Maine,-69.5773041564,44.2348192213,-69.5773041564,44.2348192213
Georgetown,South Carolina,-79.4551239957,33.3385545426,-79.4551239957,33.3385545426
Florida,Florida,-80.0026749845,25.7531481768,-80.0026749845,25.7531481768
San Augustine,Florida,-81.4628109549,29.7028159765,-81.4628109549,29.7028159765
Tallagassee,Florida,-84.2589713381,30.4109819221,-84.2589713381,30.4109819221
Sparta,Alabama,-87.2084459981,31.3746716625,-87.2084459981,31.3746716625
Washington,Mississippi,-91.1654144778,31.6301954574,-91.1654144778,31.6301954574
Amherst,Michigan,-83.4412951947,42.0190628863,-83.4412951947,42.0190628863
Huntsville,Alabama,-86.7266011279,34.8132918727,-86.7266011279,34.8132918727
