city,state,lon,lat,lon1,lat1
Martinsville,Virginia,-79.8484481227,36.7087308792,-79.8484481227,36.7087308792
Mecklenburg,Virginia,-78.3828366425,36.7014301993,-78.3828366425,36.7014301993
Luneburg,Virginia,-78.2568999150,36.9752056938,-78.2568999150,36.9752056938
Eastville,Virginia,-75.9809129713,37.3347641765,-75.9809129713,37.3347641765
Westmoreland,Virginia,-76.8022394546,38.0931222960,-76.8022394546,38.0931222960
Madison,Virginia,-78.2696761048,38.3668977905,-78.2696761048,38.3668977905
Weston,Virginia,-80.4416283606,39.0130079574,-80.4416283606,39.0130079574
Parkersburg,Virginia,-81.5613701329,39.2876960368,-81.5613701329,39.2876960368
Burning Springs,Virginia,-82.3480183869,37.8950913551,-82.3480183869,37.8950913551
Fayette,Virginia,-81.1050776422,38.0693950865,-81.1050776422,38.0693950865
Warin Springs,Virginia,-79.7863923439,38.1223250155,-79.7863923439,38.1223250155
Staunton,Virginia,-79.0937403430,38.1497025649,-79.0937403430,38.1497025649
Templeton,Virginia,-77.3479652735,37.0655516069,-77.3479652735,37.0655516069
Lebanon,Virginia,-82.1417741811,36.9140625000,-82.1417741811,36.9140625000
Leesville,Virginia,-79.2105512206,37.1011424212,-79.2105512206,37.1011424212
Marysville,Virginia,-78.6493114570,36.9934573934,-78.6493114570,36.9934573934
Christiansburg,Virginia,-80.4507542104,37.1650233699,-80.4507542104,37.1650233699
Winchester,Virginia,-78.2048825711,39.1722540366,-78.2048825711,39.1722540366
Milford,Virginia,-77.4305542143,38.0173777426,-77.4305542143,38.0173777426
Salem,Virginia,-77.9187871794,38.8359664710,-77.9187871794,38.8359664710
Lewinsburg,Virginia,-80.4813258073,37.8540250309,-80.4813258073,37.8540250309
